PG.ProteinGroups,cancer,control
Q9UKY7,9,9
Q9UKZ9,9,9
Q9UL15,7,7
Q9UL25,10,10
Q9UL26,5,6
Q9UL33,7,7
Q9UL46,7,7
Q9ULA0,7,7
Q9ULC4,6,6
Q9ULC5,22,21
Q9ULH1,23,23
Q9ULI3,14,14
Q9ULL4,20,20
Q9ULQ0,13,13
Q9ULV4,18,18
Q9UM07,13,13
Q9UM22,3,3
Q9UM47,9,9
Q9UMS0,4,4
Q9UN19,10,10
Q9UN37,8,8
Q9UN86,8,8
Q9UNE7,7,7
Q9UNF0,16,16
Q9UNF1,11,11
Q9UNH7,10,11
Q9UNM6,8,8
Q9UNN5,14,14
Q9UNS2,15,15
Q9UNW1,5,5
Q9UNZ2,11,11
Q9UP79,4,5
Q9UPN3,141,143
Q9UPN4,15,15
Q9UPN7,12,12
Q9UPT5,13,13
Q9UPU5,29,30
Q9UPW5,4,4
Q9UPY3,15,15
Q9UQ13,5,6
Q9UQ16,7,8
Q9UQ53,3,3
Q9UQ80,16,16
Q9Y210,16,16
Q9Y224,6,6
Q9Y230,17,17
Q9Y237,5,5
Q9Y240,15,15
Q9Y251,16,16
Q9Y262,16,16
Q9Y263,14,14
Q9Y265,13,13
Q9Y274,5,5
Q9Y277,10,10
Q9Y279,3,3
Q9Y285,7,7
Q9Y287,5,5
Q9Y295,6,6
Q9Y2A7,33,33
Q9Y2B0,6,6
Q9Y2D4,10,10
Q9Y2G3,13,13
Q9Y2H0,8,8
Q9Y2H1,5,5
Q9Y2I8,11,11
Q9Y2J2,14,14
Q9Y2L5,13,13
Q9Y2L6,12,12
Q9Y2L9,7,7
Q9Y2Q0,27,28
Q9Y2Q3,8,8
Q9Y2Q5,6,6
Q9Y2S2,10,10
Q9Y2T2,11,11
Q9Y2X7,22,22
Q9Y2Y8,6,6
Q9Y2Z0,13,13
Q9Y305,14,14
Q9Y315,14,14
Q9Y316,14,14
Q9Y333,2,2
Q9Y371,8,8
Q9Y376,11,11
Q9Y385,6,6
Q9Y394,10,10
Q9Y3A3,8,8
Q9Y3A5,5,5
Q9Y3A6,6,6
Q9Y3B3,6,6
Q9Y3C0,2,2
Q9Y3C5,3,3
Q9Y3D6,4,4
Q9Y3D8,3,3
Q9Y3E7,4,4
Q9Y3F4,12,12
Q9Y3I0,16,16
Q9Y3I1,4,4
Q9Y3P9,25,25
Q9Y3Q3,3,3
Q9Y3Q8,7,7
Q9Y450,11,11
Q9Y478,9,9
Q9Y484,5,5
Q9Y487,9,9
Q9Y490,132,132
Q9Y4D1,34,34
Q9Y4D8,16,16
Q9Y4E8,32,32
Q9Y4F9,9,9
Q9Y4G8,14,14
Q9Y4H2,11,11
Q9Y4I1,42,42
Q9Y4K0,4,0
Q9Y4K4,9,9
Q9Y4L1,29,29
Q9Y4P1,7,7
Q9Y4W6,10,10
Q9Y4X3,2,2
Q9Y4X5,7,7
Q9Y4Z0,2,2
Q9Y508,3,3
Q9Y512,12,12
Q9Y570,5,5
Q9Y5C1,20,19
Q9Y5K6,16,16
Q9Y5L0,11,11
Q9Y5M8,10,10
Q9Y5P4,16,16
Q9Y5P6,8,8
Q9Y5Q8,8,8
Q9Y5S2,55,55
Q9Y5S9,3,3
Q9Y5X1,14,14
Q9Y5X2,5,5
Q9Y5X3,10,10
Q9Y5X9,7,7
Q9Y5Y2,6,6
Q9Y608,13,13
Q9Y613,40,40
Q9Y616,7,7
Q9Y619,6,6
Q9Y624,12,12
Q9Y625,7,7
Q9Y639,4,4
Q9Y646,8,8
Q9Y673,5,5
Q9Y678,33,35
Q9Y696,11,11
Q9Y6A5,6,7
Q9Y6B6,3,3
Q9Y6C2,30,29
Q9Y6C9,9,9
Q9Y6D5,22,22
Q9Y6D6,29,29
Q9Y6E0,16,16
Q9Y6E2,6,6
Q9Y6F6,27,27
Q9Y6G9,13,13
Q9Y6I3,5,5
Q9Y6I9,7,7
Q9Y6K9,8,8
Q9Y6M1,14,12
Q9Y6M5,10,10
Q9Y6M9,6,6
Q9Y6N5,16,16
Q9Y6R7,17,17
Q9Y6W5,12,12
Q9Y6X5,5,5
Q9Y6Y8,10,10
Q9Y6Z7,7,7
A0A075B6K0,0,3
A2RTX5,0,5
A6H8Y1,0,2
A6QL63,0,10
A7E2V4,0,5
O00214,0,4
O00400,0,3
O00421,0,2
O00469,0,3
O00592,0,2
O00754,0,5
O14498,0,2
O14653,0,2
O14964,0,4
O15155,0,2
O15211,0,2
O15258,0,2
O15438,0,8
O15466,0,4
O43181,0,3
O43264,0,8
O43402,0,3
O43427,0,3
O43617,0,4
O43674,0,3
O43676,0,3
O60262,0,2
O60502,0,9
O60547,0,3
O60573,0,2
O60667,0,2
O60826,0,10
O60925,0,2
O75157,0,4
O75323,0,5
O75324,0,3
O75356,0,3
O75365,0,3
O75427,0,6
O75431,0,3
O75439,0,5
O75477,0,5
O75843,0,2
O94888,0,2
O95298,0,3
O95562,0,2
O95630,0,8
O95644,0,6
O95685,0,4
O95749,0,2
O95758,0,3
O95865,0,4
O95980,0,6
P00846,0,2
P02810,0,2
P03891,0,3
P03915,0,4
P07919,0,2
P09327,0,5
P09525,0,9
P0CG29;P0CG30,0,4
P12318,0,3
P12883,0,5
P17174,0,5
P19256,0,3
P21731,0,3
P22304,0,2
P22570,0,5
P24390,0,3
P25116,0,5
P25940,0,2
P26447,0,2
P27448,0,4
P28072,0,2
P28288,0,5
P29353,0,5
P30154,0,3
P30520,0,4
P31937,0,9
P33947,0,2
P35236,0,3
P35270,0,3
P36639,0,3
P40189,0,2
P40238,0,3
P42226,0,7
P42830,0,3
P43897,0,4
P45984,0,4
P46019,0,5
P46736,0,4
P46934,0,4
P48637,0,8
P48651,0,5
P48723,0,3
P48739,0,7
P49354,0,4
P49770,0,3
P49795,0,2
P49840,0,3
P50591,0,2
P51114,0,4
P51784,0,3
P51808,0,2
P51970,0,3
P52564,0,2
P52848,0,4
P53367,0,4
P54802,0,3
P55211,0,5
P60510,0,2
P61966,0,4
P62081,0,2
P62266,0,3
P62312,0,2
P62341,0,3
P68106,0,3
P69891,0,3
P78410,0,4
P78537,0,3
P98155,0,4
P98196,0,2
Q02338,0,4
Q03013,0,3
Q07108,0,4
Q07817,0,2
Q08211,0,3
Q08378,0,16
Q10713,0,3
Q12959,0,5
Q13155,0,3
Q13308,0,7
Q13325,0,2
Q13370,0,2
Q13443,0,6
Q13445,0,2
Q13451,0,4
Q13574,0,6
Q13636,0,2
Q13740,0,3
Q14315,0,3
Q14353,0,2
Q14739,0,4
Q14746,0,4
Q14914,0,3
Q15102,0,3
Q15643,0,6
Q15650,0,5
Q16186,0,2
Q16204,0,5
Q16774,0,3
Q16854,0,4
Q2TAA5,0,5
Q3MHD2,0,2
Q3ZAQ7,0,2
Q3ZCQ8,0,5
Q4G148,0,3
Q53ET0,0,3
Q53GL0,0,3
Q53GL7,0,6
Q562E7,0,3
Q5BJD5,0,3
Q5HYI8,0,3
Q5JTV8,0,4
Q5JVS0,0,3
Q5K4L6,0,6
Q5K651,0,11
Q5T2T1,0,9
Q5T3F8,0,3
Q5T5U3,0,9
Q5TBA9,0,7
Q5TGZ0,0,2
Q5VST6,0,3
Q5VWJ9,0,4
Q5VZM2;Q7L523,0,4
Q68BL7,0,3
Q6FI81,0,6
Q6GMV3,0,4
Q6P9F5,0,2
Q6PJF5,0,6
Q6UWE0,0,3
Q6YN16,0,7
Q6ZS11,0,4
Q6ZSS7,0,3
Q6ZUX7,0,3
Q70IA8,0,2
Q7L4E1,0,8
Q7L5D6,0,3
Q7L8W6,0,4
Q7Z392,0,8
Q7Z3C6,0,6
Q7Z4G1,0,2
Q7Z6B0,0,3
Q7Z6V5,0,2
Q86SX6,0,2
Q86TI2,0,3
Q86VN1,0,4
Q86VR2,0,3
Q86XP1,0,4
Q8IU68,0,3
Q8IWR0,0,4
Q8IX19,0,4
Q8IXB1,0,5
Q8IXI2,0,5
Q8IY33,0,7
Q8IZ07,0,5
Q8N0U8,0,5
Q8N0Z6,0,4
Q8N1Q1,0,3
Q8N2K0,0,6
Q8N4Q1,0,2
Q8N4V1,0,2
Q8N5M9,0,2
Q8NB37,0,2
Q8NCG7,0,5
Q8NCN5,0,9
Q8ND56,0,4
Q8NEW0,0,2
Q8NFQ8,0,4
Q8NHG7,0,2
Q8TBX8,0,2
Q8TCS8,0,9
Q8TEB9,0,5
Q8TF05,0,4
Q8WUH6,0,2
Q8WVC6,0,6
Q8WW59,0,5
Q8WWY8,0,3
Q8WY22,0,2
Q8WZ82,0,3
Q92506,0,3
Q92540,0,3
Q93099,0,6
Q969K3,0,3
Q969M3,0,2
Q969X1,0,2
Q96A26,0,5
Q96AA3,0,3
Q96AC1,0,11
Q96B45,0,3
Q96B97,0,5
Q96BN8,0,5
Q96C36,0,3
Q96D46,0,5
Q96DT0,0,3
Q96DZ1,0,5
Q96EP0,0,9
Q96EY8,0,4
Q96F46,0,5
Q96FZ7,0,4
Q96G97,0,4
Q96GS4,0,3
Q96H20,0,4
Q96IG2,0,4
Q96IV0,0,6
Q96JB2,0,5
Q96KC8,0,3
Q96LJ7,0,5
Q96MH2,0,2
Q96NB2,0,4
Q96PM5,0,3
Q96Q11,0,3
Q96Q42,0,3
Q96S66,0,3
Q96SU4,0,3
Q96T66,0,6
Q99442,0,2
Q99543,0,4
Q99570,0,5
Q99757,0,3
Q9BRJ2,0,4
Q9BRR8,0,2
Q9BS40,0,2
Q9BSD7,0,3
Q9BSW2,0,7
Q9BT09,0,3
Q9BT40,0,3
Q9BVC4,0,3
Q9BVG4,0,2
Q9BWH2,0,4
Q9BX59,0,4
Q9BXJ4,0,2
Q9BXJ9,0,4
Q9BYD6,0,2
Q9BYI3,0,7
Q9BYM8,0,6
Q9BZE1,0,3
Q9BZF3,0,8
Q9BZI7,0,4
Q9BZW5,0,3
Q9C037,0,7
Q9C0F1,0,4
Q9C0H2,0,3
Q9GZU7,0,3
Q9H1I8,0,6
Q9H1K0,0,5
Q9H239,0,2
Q9H2W6,0,3
Q9H330,0,3
Q9H488,0,3
Q9H497,0,2
Q9H553,0,5
Q9H6T3,0,2
Q9H6V9,0,3
Q9H6X2,0,3
Q9H7B4,0,3
Q9H8M7,0,2
Q9HAB8,0,4
Q9HBL7,0,4
Q9HC07,0,3
Q9HC38,0,4
Q9HCP0,0,4
Q9HD89,0,3
Q9NNW7,0,6
Q9NP61,0,4
Q9NP81,0,7
Q9NP97,0,3
Q9NPA0,0,2
Q9NPH3,0,3
Q9NQ34,0,2
Q9NQE9,0,3
Q9NQR4,0,6
Q9NR19,0,5
Q9NRK6,0,8
Q9NRV9,0,3
Q9NRZ7,0,5
Q9NS00,0,2
Q9NTJ4,0,5
Q9NWW6,0,3
Q9NX14,0,3
Q9NX40,0,3
Q9NX62,0,4
Q9NXC2,0,4
Q9NXL6,0,3
Q9NYA1,0,4
Q9NYJ8,0,6
Q9NZ45,0,2
Q9NZD4,0,2
Q9NZL4,0,3
Q9NZN8,0,4
Q9NZT1,0,2
Q9P1F3,0,3
Q9P2R3,0,7
Q9P2W9,0,5
Q9UBB4,0,5
Q9UBG0,0,2
Q9UFG5,0,3
Q9UI09,0,3
Q9UJX5,0,6
Q9UKF7,0,3
Q9UKV8,0,4
Q9UKW4,0,10
Q9UL45,0,2
Q9ULP9,0,7
Q9UPY6,0,6
Q9UQN3,0,2
Q9Y257,0,2
Q9Y276,0,9
Q9Y296,0,3
Q9Y2R0,0,2
Q9Y2V2,0,2
Q9Y2V7,0,5
Q9Y3E5,0,3
Q9Y3L5,0,2
Q9Y4E1,0,5
Q9Y4E6,0,2
Q9Y4G6,0,3
Q9Y4K3,0,8
Q9Y4P3,0,2
Q9Y5K8,0,4
Q9Y5U9,0,2
Q9Y6Q2,0,2
Q9Y6R4,0,7
