PG.ProteinGroups,HYE mix A/HYE mix B|signal_log2_ratio,HYE mix A/HYE mix B|raw_p_value,HYE mix A/HYE mix B|adjusted_p_value
O43150,0.016941014383674655,0.955277775293091,1
O43156,0.07771842976204052,0.9213074679788213,1
O43159,-0.12500996110836948,0.7225790356697523,1
O43164,0.15002083136517527,0.6137501255976716,1
O43166,-0.016860479848608962,0.9999724103746128,1
O43169,0.007452372882018488,0.9766869156409493,1
O43172,0.03752918489291227,0.9487405284809025,1
O43175,-0.04425635401661075,0.9240983634518747,1
O43181,0.23528536460665023,8.338955312264663e-4,0.0028653643757896924
O43184,-1.4649812542429959,0.1952418167084667,0.4251501491677265
O43237,0.11006721473626484,0.4667348557973903,0.8369872556085888
O43242,0.007716673665576635,0.999999919899926,1
O43251,0.08775733405712004,0.9167311562675244,1
O43252,0.023153203180053112,0.9997880799279428,1
O43264,-0.06280386253037244,0.876104385498608,1
O43290,0.041713027309784725,0.9664433755028938,1
O43292,0.004867300714395718,0.9991896933778317,1
O43293,-4.153519065641089e-4,0.9999995869268992,1
O43294,0.021251293171724073,0.9980618587964195,1
O43301,0.1968399460963008,0.41549735210037586,0.771668758288185
O43310,-0.031150992370948823,0.952973593070163,1
O43314,0.05467908664953177,0.9237845772557913,1
O43318,-0.1998629905021935,0.21458292841865909,0.46035373947633557
O43324,-0.12184349187750525,0.7624890417033399,1
O43390,0.00999127086927805,0.9999885833302851,1
O43395,0.0838039602205703,0.3067663740532092,0.612448364644649
O43396,-0.03544695651520873,0.9617062169126601,1
O43399,0.038106241832009904,0.9227118497285425,1
O43402,-0.02022100938120157,0.924432224317952,1
O43414,0.13024043542172326,0.8799424287807178,1
O43427,-0.38515358660758053,0.05018328544248062,0.12758039234381888
O43432,0.019463933060112702,0.9999999879915833,1
O43447,-0.06798363783992285,0.53806866760506,0.9229553053831002
O43464,0.10148998421177166,0.6152053352392434,1
O43488,-0.011143645566684006,0.9961915116064872,1
O43491,-0.01717518946497086,0.9999998253395037,1
O43493,0.14581113714638425,0.13864938685843328,0.31839216143330784
O43504,0.04993435011340025,0.6423244442846866,1
O43513,-1.0197831031499744,0.9191789650297365,1
O43516,-0.18750088213582738,0.13162875598207488,0.3041576615942389
O43570,-0.6356612056086031,0.0453219163692547,0.11612929430718057
O43572,-0.7977040144281583,0.18283958825316687,0.40346527278320665
O43583,0.13258217086662288,0.3499147726827699,0.6785291620061049
O43592,-0.007170548545680567,0.9999999996123402,1
O43598,-3.2746064635240016e-4,0.9999999516044423,1
O43615,0.04985715474188792,0.910175162725773,1
O43617,-0.16182876802531768,0.7486924956953136,1
O43633,0.07665261073245529,0.6922472763331188,1
O43657,0.8008843651053452,0.19754008586736038,0.42928364954286036
O43660,0.023968184406445027,0.9997271788716435,1
O43663,0.03888687437217306,0.9862433889154022,1
O43665,0.14330198823675946,0.3062836599680463,0.6117122566754336
